run_id,feature,model_id,model_family,split_family,analysis_branch,replicate_id,fold_id,threshold,train_n,test_n,train_pos,train_neg,test_pos,test_neg,mcc,auroc,auprc,f1,precision,sensitivity,specificity,tp,tn,fp,fn
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R03_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R03,3,0.5,133,44,109,24,36,8,0.5443310539518174,0.8090277777777778,0.9249727764952528,0.8985507246376812,0.9393939393939394,0.8611111111111112,0.75,31,6,2,5
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R03_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R03,4,0.5,133,44,109,24,36,8,0.2721655269759087,0.7569444444444444,0.9379084415957193,0.8405797101449275,0.8787878787878788,0.8055555555555556,0.5,29,4,4,7
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R04_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R04,1,0.5,132,45,108,24,37,8,0.3767873050126201,0.7635135135135135,0.9374130620458041,0.8571428571428571,0.9090909090909091,0.8108108108108109,0.625,30,5,3,7
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R04_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R04,2,0.5,133,44,109,24,36,8,0.5311497445029681,0.8958333333333333,0.9775816550297676,0.8615384615384616,0.9655172413793104,0.7777777777777778,0.875,28,7,1,8
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R04_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R04,3,0.5,133,44,109,24,36,8,0.46964663578423127,0.732638888888889,0.917917679754273,0.8656716417910447,0.9354838709677419,0.8055555555555556,0.75,29,6,2,7
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R04_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R04,4,0.5,133,44,109,24,36,8,0.3067859955389482,0.7395833333333334,0.9309498139749889,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.5,30,4,4,6
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R05_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R05,1,0.5,132,45,108,24,37,8,0.11391244105032701,0.793918918918919,0.9525080842736449,0.8,0.8484848484848485,0.7567567567567568,0.375,28,3,5,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R05_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R05,2,0.5,133,44,109,24,36,8,0.11001639366407491,0.6666666666666666,0.9122546747732372,0.7301587301587301,0.8518518518518519,0.6388888888888888,0.5,23,4,4,13
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R05_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R05,3,0.5,133,44,109,24,36,8,0.08218816126224048,0.4375,0.8061766489033609,0.7761194029850746,0.8387096774193549,0.7222222222222222,0.375,26,3,5,10
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R05_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R05,4,0.5,133,44,109,24,36,8,0.3067859955389482,0.78125,0.9500744219456722,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.5,30,4,4,6
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R06_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R06,1,0.5,132,45,108,24,37,8,0.5082247369937667,0.8412162162162162,0.9607957563125067,0.8857142857142857,0.9393939393939394,0.8378378378378378,0.75,31,6,2,6
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R06_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R06,2,0.5,133,44,109,24,36,8,0.3067859955389482,0.7430555555555556,0.9260267084128164,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.5,30,4,4,6
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R06_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R06,3,0.5,133,44,109,24,36,8,0.35205245972503973,0.8055555555555556,0.9537165195802266,0.7936507936507936,0.9259259259259259,0.6944444444444444,0.75,25,6,2,11
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R06_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R06,4,0.5,133,44,109,24,36,8,0.2721655269759087,0.8090277777777778,0.9562691683153651,0.8405797101449275,0.8787878787878788,0.8055555555555556,0.5,29,4,4,7
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R07_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R07,1,0.5,132,45,108,24,37,8,0.5439437674894452,0.8851351351351351,0.9766412622334719,0.8253968253968254,1.0,0.7027027027027027,1.0,26,8,0,11
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R07_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R07,2,0.5,133,44,109,24,36,8,0.44739624349429946,0.7743055555555556,0.9247013078889552,0.8857142857142857,0.9117647058823529,0.8611111111111112,0.625,31,5,3,5
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R07_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R07,3,0.5,133,44,109,24,36,8,0.21134098610290408,0.7569444444444443,0.9436277046073394,0.8059701492537313,0.8709677419354839,0.75,0.5,27,4,4,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R07_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R07,4,0.5,133,44,109,24,36,8,0.4467089744814192,0.8541666666666667,0.9681835823769994,0.8064516129032258,0.9615384615384616,0.6944444444444444,0.875,25,7,1,11
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R08_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R08,1,0.5,132,45,108,24,37,8,0.45049308035087,0.8310810810810811,0.9585194917496389,0.8888888888888888,0.9142857142857143,0.8648648648648649,0.625,32,5,3,5
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R08_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R08,2,0.5,133,44,109,24,36,8,0.10825317547305482,0.6284722222222222,0.8861535012420634,0.7941176470588235,0.84375,0.75,0.375,27,3,5,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R08_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R08,3,0.5,133,44,109,24,36,8,0.10825317547305482,0.6597222222222222,0.903836678952536,0.7941176470588235,0.84375,0.75,0.375,27,3,5,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R08_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R08,4,0.5,133,44,109,24,36,8,0.15821481751152242,0.625,0.8949723597832442,0.7692307692307693,0.8620689655172413,0.6944444444444444,0.5,25,4,4,11
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R09_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R09,1,0.5,132,45,108,24,37,8,0.11391244105032701,0.7128378378378379,0.9313685287189801,0.8,0.8484848484848485,0.7567567567567568,0.375,28,3,5,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R09_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R09,2,0.5,133,44,109,24,36,8,0.3404938109435677,0.7708333333333334,0.9397334240140484,0.835820895522388,0.9032258064516129,0.7777777777777778,0.625,28,5,3,8
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R09_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R09,3,0.5,133,44,109,24,36,8,0.3728720488516333,0.857638888888889,0.9686818685912818,0.8529411764705882,0.90625,0.8055555555555556,0.625,29,5,3,7
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R09_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R09,4,0.5,133,44,109,24,36,8,0.24056261216234406,0.7291666666666666,0.910531017874364,0.8235294117647058,0.875,0.7777777777777778,0.5,28,4,4,8
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R10_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R10,1,0.5,132,45,108,24,37,8,0.41099746826339323,0.777027027027027,0.9444953126735212,0.835820895522388,0.9333333333333333,0.7567567567567568,0.75,28,6,2,9
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R10_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R10,2,0.5,133,44,109,24,36,8,0.2825264598420043,0.6909722222222222,0.9142247485353119,0.8,0.896551724137931,0.7222222222222222,0.625,26,5,3,10
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R10_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R10,3,0.5,133,44,109,24,36,8,0.11001639366407491,0.5451388888888888,0.8531532176069763,0.7301587301587301,0.8518518518518519,0.6388888888888888,0.5,23,4,4,13
PLM_ESM2_LR_L2_random_cv_R1_R10_sensplus_R10_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,sensplus,R10,4,0.5,133,44,109,24,36,8,0.408248290463863,0.8333333333333334,0.96140348803048,0.8695652173913043,0.9090909090909091,0.8333333333333334,0.625,30,5,3,6
PLM_ESM2_LinearSVM_r02a_sequence_cluster_hard_split_sensplus_R02A_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,sensplus,R02A,1,0.0,132,45,108,24,37,8,0.4940524646612319,0.8074324324324325,0.9498411005848664,0.9041095890410958,0.9166666666666666,0.8918918918918919,0.625,33,5,3,4
PLM_ESM2_LinearSVM_r02a_sequence_cluster_hard_split_sensplus_R02A_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,sensplus,R02A,2,0.0,133,44,109,24,36,8,-0.11504474832710557,0.48263888888888884,0.8585781622920461,0.7714285714285715,0.7941176470588235,0.75,0.125,27,1,7,9
PLM_ESM2_LinearSVM_r02a_sequence_cluster_hard_split_sensplus_R02A_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,sensplus,R02A,3,0.0,133,44,109,24,36,8,0.08333333333333333,0.7430555555555556,0.9397065825367019,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.25,30,2,6,6
PLM_ESM2_LinearSVM_r02a_sequence_cluster_hard_split_sensplus_R02A_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,r02a_sequence_cluster_hard_split,sensplus,R02A,4,0.0,133,44,109,24,36,8,0.0,0.5902777777777779,0.8947793725281483,0.782608695652174,0.8181818181818182,0.75,0.25,27,2,6,9
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R01_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R01,1,0.0,129,45,108,21,37,8,0.23986486486486486,0.7939189189189189,0.9539450231067752,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.375,32,3,5,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R01_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R01,2,0.0,131,43,109,22,36,7,0.4880952380952381,0.8214285714285714,0.9583104028308329,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5714285714285714,33,4,3,3
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R01_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R01,3,0.0,131,43,109,22,36,7,0.2376746986357936,0.7777777777777777,0.9500746941498746,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.42857142857142855,30,3,4,6
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R01_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R01,4,0.0,131,43,109,22,36,7,0.31746031746031744,0.6944444444444444,0.9245487278642767,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.42857142857142855,32,3,4,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R02_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R02,1,0.0,130,44,108,22,37,7,0.15057915057915058,0.7065637065637066,0.9360585484805708,0.8648648648648649,0.8648648648648649,0.8648648648648649,0.2857142857142857,32,2,5,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R02_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R02,2,0.0,130,44,109,21,36,8,0.44739624349429946,0.8263888888888888,0.9566721424316142,0.8857142857142857,0.9117647058823529,0.8611111111111112,0.625,31,5,3,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R02_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R02,3,0.0,131,43,109,22,36,7,0.4366954864042048,0.7658730158730158,0.9408557197105575,0.9014084507042254,0.9142857142857143,0.8888888888888888,0.5714285714285714,32,4,3,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R02_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R02,4,0.0,131,43,109,22,36,7,0.2376746986357936,0.7103174603174602,0.9347072457704299,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.42857142857142855,30,3,4,6
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R03_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R03,1,0.0,130,44,108,22,37,7,0.3204633204633205,0.8648648648648649,0.9744210861527522,0.8918918918918919,0.8918918918918919,0.8918918918918919,0.42857142857142855,33,3,4,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R03_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R03,2,0.0,130,44,109,21,36,8,0.3278050340535929,0.6736111111111112,0.8828478841926051,0.8918918918918919,0.868421052631579,0.9166666666666666,0.375,33,3,5,3
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R03_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R03,3,0.0,131,43,109,22,36,7,0.5473720332218277,0.8928571428571428,0.9771300776251208,0.9142857142857143,0.9411764705882353,0.8888888888888888,0.7142857142857143,32,5,2,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R03_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R03,4,0.0,131,43,109,22,36,7,0.31746031746031744,0.7619047619047619,0.9452363945762176,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.42857142857142855,32,3,4,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R04_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R04,1,0.0,130,44,108,22,37,7,0.2782706909370396,0.7027027027027027,0.9301561746965243,0.8767123287671232,0.8888888888888888,0.8648648648648649,0.42857142857142855,32,3,4,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R04_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R04,2,0.0,130,44,109,21,36,8,0.5443310539518174,0.8784722222222222,0.9734367951766518,0.8985507246376812,0.9393939393939394,0.8611111111111112,0.75,31,6,2,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R04_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R04,3,0.0,131,43,109,22,36,7,0.31897158992671304,0.7420634920634921,0.9340399174829479,0.8529411764705882,0.90625,0.8055555555555556,0.5714285714285714,29,4,3,7
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R04_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R04,4,0.0,131,43,109,22,36,7,0.39252336592881065,0.7817460317460317,0.9497693344022692,0.8857142857142857,0.9117647058823529,0.8611111111111112,0.5714285714285714,31,4,3,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R05_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R05,1,0.0,130,44,108,22,37,7,0.2782706909370396,0.8108108108108109,0.9617397234401581,0.8767123287671232,0.8888888888888888,0.8648648648648649,0.42857142857142855,32,3,4,5
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R05_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R05,2,0.0,130,44,109,21,36,8,0.21134098610290408,0.7083333333333334,0.9190395104326305,0.8059701492537313,0.8709677419354839,0.75,0.5,27,4,4,9
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R05_fold3,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R05,3,0.0,131,43,109,22,36,7,0.055483358571765264,0.4246031746031746,0.8175649349215651,0.8115942028985508,0.8484848484848485,0.7777777777777778,0.2857142857142857,28,2,5,8
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R05_fold4,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R05,4,0.0,131,43,109,22,36,7,0.2376746986357936,0.8134920634920635,0.9604794061350613,0.8571428571428571,0.8823529411764706,0.8333333333333334,0.42857142857142855,30,3,4,6
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R06_fold1,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R06,1,0.0,130,44,108,22,37,7,0.5496604555653705,0.8764478764478765,0.9748509676779398,0.9166666666666666,0.9428571428571428,0.8918918918918919,0.7142857142857143,33,5,2,4
PLM_ESM2_LinearSVM_random_cv_R1_R10_core_only_R06_fold2,ESM2_frozen_embedding,ESM2_LinearSVM,LinearSVM,random_cv_R1_R10,core_only,R06,2,0.0,130,44,109,21,36,8,0.3888888888888889,0.6770833333333333,0.9026493511997955,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.5,32,4,4,4
